Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Kyrie Irving",27.6,BKN,Point,658,96,"34.8%",83,118.6,65,"33.1%",20,0.95,91,"9.5%"
"Jonathan Isaac",22.0,ORL,Big,941,63,"17.3%",22,107.4,29,"7.1%",21,0.41,64,"12.7%"
"Wes Iwundu",24.8,ORL,Forward,713,15,"12.7%",30,101.6,42,"7.5%",63,0.59,87,"8.8%"
"Frank Jackson",21.4,NOP,Point,530,20,"19.1%",46,108.4,0,"8.5%",0,0.45,50,"13.4%"
"Jaren Jackson",20.1,MEM,Big,1501,86,"21.6%",57,117.6,35,"7.6%",8,0.35,70,"12.0%"
"Josh Jackson",22.7,MEM,Forward,238,75,"19.1%",33,103.1,58,"8.3%",25,0.44,9,"16.4%"
"Justin Jackson",24.5,DAL,Forward,741,45,"14.6%",25,101.1,9,"5.7%",18,0.39,100,"4.0%"
"Reggie Jackson",29.5,DET,Point,375,80,"30.0%",13,98.5,59,"30.8%",24,1.03,93,"9.1%"
"Justin James",22.7,SAC,Wing,173,41,"15.1%",6,86.5,44,"9.7%",51,0.65,20,"13.9%"
"LeBron James",34.8,LAL,Forward,1908,100,"36.1%",69,115.1,100,"47.8%",97,1.32,24,"13.6%"
"Ty Jerome",22.3,PHX,Combo,227,51,"20.2%",11,90.6,77,"23.9%",84,1.18,21,"14.3%"
"Cameron Johnson",23.6,PHX,Forward,936,36,"14.1%",58,113.7,48,"7.8%",52,0.55,94,"8.1%"
"James Johnson",32.6,MIA,Big,263,56,"16.5%",34,110.8,72,"10.9%",69,0.66,33,"14.8%"
